Año=2019;  Mes=1;  Dia=1;  Camas disponibles=5
Año=2019;  Mes=1;  Dia=2;  Camas disponibles=831
Año=2019;  Mes=1;  Dia=3;  Camas disponibles=204
Año=2019;  Mes=1;  Dia=4;  Camas disponibles=339
Año=2019;  Mes=1;  Dia=5;  Camas disponibles=138
Año=2019;  Mes=1;  Dia=6;  Camas disponibles=462
Año=2019;  Mes=1;  Dia=7;  Camas disponibles=418
Año=2019;  Mes=1;  Dia=8;  Camas disponibles=119
Año=2019;  Mes=1;  Dia=9;  Camas disponibles=105
Año=2019;  Mes=1;  Dia=10;  Camas disponibles=176
Año=2019;  Mes=1;  Dia=11;  Camas disponibles=286
Año=2019;  Mes=1;  Dia=12;  Camas disponibles=788
Año=2019;  Mes=1;  Dia=13;  Camas disponibles=99
Año=2019;  Mes=1;  Dia=14;  Camas disponibles=306
Año=2019;  Mes=1;  Dia=15;  Camas disponibles=28
Año=2019;  Mes=1;  Dia=16;  Camas disponibles=140
Año=2019;  Mes=1;  Dia=17;  Camas disponibles=475
Año=2019;  Mes=1;  Dia=18;  Camas disponibles=100
Año=2019;  Mes=1;  Dia=19;  Camas disponibles=178
Año=2019;  Mes=1;  Dia=20;  Camas disponibles=154
Año=2019;  Mes=1;  Dia=21;  Camas disponibles=103
Año=2019;  Mes=1;  Dia=22;  Camas disponibles=243
Año=2019;  Mes=1;  Dia=23;  Camas disponibles=288
Año=2019;  Mes=1;  Dia=24;  Camas disponibles=284
Año=2019;  Mes=1;  Dia=25;  Camas disponibles=685
Año=2019;  Mes=1;  Dia=26;  Camas disponibles=186
Año=2019;  Mes=1;  Dia=27;  Camas disponibles=91
Año=2019;  Mes=1;  Dia=28;  Camas disponibles=317
Año=2019;  Mes=1;  Dia=29;  Camas disponibles=74
Año=2019;  Mes=1;  Dia=30;  Camas disponibles=226
Año=2019;  Mes=1;  Dia=31;  Camas disponibles=570
Año=2019;  Mes=2;  Dia=1;  Camas disponibles=115
Año=2019;  Mes=2;  Dia=2;  Camas disponibles=338
Año=2019;  Mes=2;  Dia=3;  Camas disponibles=50
Año=2019;  Mes=2;  Dia=4;  Camas disponibles=372
Año=2019;  Mes=2;  Dia=5;  Camas disponibles=149
Año=2019;  Mes=2;  Dia=6;  Camas disponibles=23
Año=2019;  Mes=2;  Dia=7;  Camas disponibles=175
Año=2019;  Mes=2;  Dia=8;  Camas disponibles=75
Año=2019;  Mes=2;  Dia=9;  Camas disponibles=226
Año=2019;  Mes=2;  Dia=10;  Camas disponibles=278
Año=2019;  Mes=2;  Dia=11;  Camas disponibles=368
Año=2019;  Mes=2;  Dia=12;  Camas disponibles=179
Año=2019;  Mes=2;  Dia=13;  Camas disponibles=558
Año=2019;  Mes=2;  Dia=14;  Camas disponibles=225
Año=2019;  Mes=2;  Dia=15;  Camas disponibles=536
Año=2019;  Mes=2;  Dia=16;  Camas disponibles=465
Año=2019;  Mes=2;  Dia=17;  Camas disponibles=76
Año=2019;  Mes=2;  Dia=18;  Camas disponibles=247
Año=2019;  Mes=2;  Dia=19;  Camas disponibles=78
Año=2019;  Mes=2;  Dia=20;  Camas disponibles=167
Año=2019;  Mes=2;  Dia=21;  Camas disponibles=102
Año=2019;  Mes=2;  Dia=22;  Camas disponibles=209
Año=2019;  Mes=2;  Dia=23;  Camas disponibles=507
Año=2019;  Mes=2;  Dia=24;  Camas disponibles=1
Año=2019;  Mes=2;  Dia=25;  Camas disponibles=88
Año=2019;  Mes=2;  Dia=26;  Camas disponibles=71
Año=2019;  Mes=2;  Dia=27;  Camas disponibles=423
Año=2019;  Mes=2;  Dia=28;  Camas disponibles=388
Año=2019;  Mes=3;  Dia=1;  Camas disponibles=10
